epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8228,1.27552,6.33247,0.02042,0.00543,0.04167,0.04188,0.03815,1.54153,7.32976,0.0202,1.666e-05,1.666e-05,1.666e-05
2,29.0084,1.20276,6.15642,0.01278,0.00521,0.04167,0.04188,0.03811,1.28326,7.20702,0.01635,4.08253e-05,4.08253e-05,4.08253e-05
3,42.1041,1.16864,5.94723,0.01459,0.00521,0.04167,0.04188,0.03821,1.2072,7.17453,0.01508,6.40011e-05,6.40011e-05,6.40011e-05
4,55.1984,0.89647,6.66643,0.01027,0.00417,0.04167,0.04188,0.03785,1.23498,7.19136,0.01473,8.61872e-05,8.61872e-05,8.61872e-05
5,68.3524,0.72586,6.69783,0.01203,0.00556,0.08333,0.02844,0.0267,1.26454,7.19617,0.01548,0.000107384,0.000107384,0.000107384
6,81.4857,0.78596,7.71466,0.01524,0.02296,0.125,0.06589,0.04794,1.20547,7.16877,0.0136,0.000127591,0.000127591,0.000127591
7,94.8274,1.05212,6.06749,0.01356,0.01426,0.125,0.08344,0.05898,1.26727,7.16436,0.01516,0.000146808,0.000146808,0.000146808
8,107.806,0.82451,5.64441,0.00997,0.0524,0.1875,0.125,0.07395,1.27407,7.10857,0.01502,0.000165036,0.000165036,0.000165036
9,120.902,0.82458,5.64875,0.0097,0.02555,0.1875,0.12385,0.07312,1.13374,7.02433,0.013,0.000182274,0.000182274,0.000182274
10,133.903,1.16932,6.01798,0.02207,0.02629,0.22917,0.12431,0.07621,1.23155,7.06389,0.01397,0.000198522,0.000198522,0.000198522
11,147.082,0.75828,6.08533,0.01137,0.01431,0.22917,0.12421,0.0801,1.15607,7.01185,0.01256,0.000213781,0.000213781,0.000213781
12,160.2,0.8392,5.78947,0.01083,0.01685,0.29167,0.13378,0.08552,1.11395,6.98599,0.012,0.00022805,0.00022805,0.00022805
13,173.408,0.81459,6.13705,0.01118,0.01092,0.29167,0.13134,0.09676,1.274,7.02768,0.01432,0.00024133,0.00024133,0.00024133
14,186.466,0.89923,5.26569,0.01017,0.00878,0.29167,0.14438,0.10514,1.25492,6.99595,0.01326,0.00025362,0.00025362,0.00025362
15,199.654,0.76759,5.45044,0.01076,0.00953,0.39583,0.07557,0.0572,1.4099,7.03161,0.01618,0.000264921,0.000264921,0.000264921
16,212.713,0.73998,4.97089,0.00937,0.0105,0.58333,0.09866,0.07443,1.32141,6.94751,0.01507,0.000275232,0.000275232,0.000275232
17,225.961,0.78771,5.48969,0.01201,0.00837,0.54167,0.07502,0.05531,1.40516,6.99291,0.01726,0.000284553,0.000284553,0.000284553
18,240.093,0.80699,5.65974,0.01321,0.00666,0.41667,0.09973,0.0758,1.45652,7.05419,0.01895,0.000292884,0.000292884,0.000292884
19,253.514,0.95052,6.96124,0.01823,0.00581,0.29167,0.09155,0.07293,1.44993,7.02425,0.01905,0.000300227,0.000300227,0.000300227
20,266.987,0.65187,5.3872,0.00831,0.00553,0.29167,0.09216,0.07282,1.49658,7.01828,0.01921,0.000306579,0.000306579,0.000306579
21,280.459,0.6827,6.73108,0.01038,0.00639,0.47917,0.09811,0.07618,1.50558,6.98008,0.01795,0.000311942,0.000311942,0.000311942
22,293.776,0.81122,5.17406,0.00993,0.00623,0.47917,0.1093,0.08902,1.49038,6.92675,0.01696,0.000316315,0.000316315,0.000316315
23,307.125,0.78891,6.51454,0.01053,0.00595,0.47917,0.10679,0.08789,1.39698,6.80751,0.0155,0.000319699,0.000319699,0.000319699
24,320.668,0.90115,5.88906,0.01474,0.00649,0.52083,0.14461,0.1311,1.35711,6.69841,0.01468,0.000322093,0.000322093,0.000322093
25,336.064,0.77973,6.58934,0.01017,0.00617,0.52083,0.1573,0.13474,1.50098,6.73624,0.01625,0.000323497,0.000323497,0.000323497
26,349.628,0.85398,4.79767,0.01034,0.00601,0.52083,0.14367,0.11873,1.53873,6.69889,0.01813,0.000323912,0.000323912,0.000323912
27,363.327,1.00444,5.12713,0.01293,0.00595,0.52083,0.16653,0.12974,1.48543,6.65117,0.01677,0.000323337,0.000323337,0.000323337
28,377.137,0.96345,4.70519,0.013,0.00568,0.52083,0.1469,0.11251,1.36893,6.63199,0.01443,0.000321773,0.000321773,0.000321773
29,391.035,0.6853,5.12378,0.00978,0.00568,0.52083,0.1469,0.11251,1.36893,6.63199,0.01443,0.000319219,0.000319219,0.000319219
30,404.694,0.83712,5.24022,0.01217,0.00497,0.47917,0.17592,0.12116,1.45072,6.64729,0.01595,0.000315675,0.000315675,0.000315675
