epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2442,0.98264,5.75925,0.01347,0.01735,0.24167,0.08102,0.04611,1.09272,7.47982,0.01499,4.165e-05,4.165e-05,4.165e-05
2,77.9684,0.96896,5.83275,0.01274,0.04088,0.33542,0.10747,0.07196,1.01147,7.41711,0.01256,8.98157e-05,8.98157e-05,8.98157e-05
3,114.918,0.94394,5.59368,0.01211,0.02154,0.33542,0.09054,0.06302,0.95779,7.41779,0.0111,0.000136002,0.000136002,0.000136002
4,152.36,0.84978,5.5688,0.01097,0.01369,0.39792,0.06167,0.0483,0.97366,7.37956,0.01138,0.00018021,0.00018021,0.00018021
5,188.195,0.94297,5.4726,0.01165,0.01405,0.50208,0.08595,0.07122,0.94081,7.33861,0.0113,0.000222438,0.000222438,0.000222438
6,224.689,0.91486,5.50247,0.01154,0.009,0.56458,0.09459,0.08376,0.92816,7.26169,0.01103,0.000262687,0.000262687,0.000262687
7,260.489,0.85964,5.39137,0.01104,0.00802,0.66875,0.10914,0.08568,0.98608,7.19127,0.01174,0.000300956,0.000300956,0.000300956
8,296.506,0.90311,5.42543,0.01088,0.00773,0.72083,0.1751,0.11571,0.97733,7.10564,0.01137,0.000337247,0.000337247,0.000337247
9,332.546,0.86815,5.21827,0.01206,0.00704,0.65833,0.15159,0.12977,1.02733,7.07066,0.0132,0.000371558,0.000371558,0.000371558
10,368.249,0.83949,5.02034,0.01074,0.00623,0.58542,0.15397,0.12079,1.09498,7.05628,0.01372,0.00040389,0.00040389,0.00040389
11,404.708,0.85777,4.55341,0.01015,0.00625,0.58542,0.18899,0.14262,1.13368,6.94199,0.01421,0.000434243,0.000434243,0.000434243
12,440.774,0.86483,4.3834,0.01027,0.00651,0.61667,0.21872,0.17206,1.05397,6.75919,0.01256,0.000462617,0.000462617,0.000462617
13,478.903,0.92915,4.56292,0.01207,0.73765,0.125,0.21967,0.17956,1.04998,6.62276,0.01266,0.000489011,0.000489011,0.000489011
14,515.587,0.91276,4.30429,0.01104,0.67558,0.14167,0.27153,0.22188,1.08478,6.4941,0.01287,0.000513426,0.000513426,0.000513426
15,551.359,0.89907,4.07079,0.01074,0.72816,0.13542,0.31697,0.26421,1.09668,6.42973,0.01257,0.000535862,0.000535862,0.000535862
16,587.549,0.93573,4.24017,0.01193,0.91203,0.12459,0.29809,0.24934,1.11521,6.32638,0.0138,0.000556319,0.000556319,0.000556319
17,625.22,0.9182,4.02288,0.01128,0.85878,0.125,0.30862,0.24663,1.22127,6.21601,0.01482,0.000569106,0.000569106,0.000569106
18,661.886,1.00502,4.05922,0.01352,0.77999,0.24288,0.3999,0.29145,1.24384,6.04225,0.01479,0.000552612,0.000552612,0.000552612
19,697.886,0.9661,4.12793,0.01223,0.66135,0.28033,0.39772,0.30001,1.24006,5.87355,0.0151,0.000536119,0.000536119,0.000536119
20,735.767,0.96894,3.73985,0.01189,0.49456,0.3212,0.49353,0.36506,1.17824,5.5536,0.01438,0.000519625,0.000519625,0.000519625
